created_at,entry_id,field1,field2,field3,field4
2021-04-13 23:27:00 UTC,4590,25.00,46.40,24.90,"47.30

"
2021-04-13 23:37:00 UTC,4591,25.10,46.70,24.90,"47.50

"
2021-04-13 23:47:00 UTC,4592,25.10,46.30,24.90,"47.30

"
2021-04-13 23:57:00 UTC,4593,25.10,46.80,24.90,"47.70

"
2021-04-14 00:07:00 UTC,4594,25.10,47.10,24.90,"48.10

"
2021-04-14 00:17:00 UTC,4595,25.00,47.30,24.90,"48.40

"
2021-04-14 00:27:00 UTC,4596,25.10,47.80,24.90,"49.10

"
2021-04-14 00:37:00 UTC,4597,25.00,48.20,24.90,"49.50

"
2021-04-14 00:47:00 UTC,4598,25.00,48.50,24.90,"49.80

"
2021-04-14 00:56:59 UTC,4599,25.00,48.20,24.90,"49.40

"
2021-04-14 01:07:00 UTC,4600,25.00,48.30,24.60,"49.30

"
2021-04-14 01:17:01 UTC,4601,25.00,48.30,24.90,"49.50

"
2021-04-14 01:27:01 UTC,4602,25.00,48.30,24.90,"49.50

"
2021-04-14 01:37:01 UTC,4603,24.90,48.20,24.90,"49.50

"
2021-04-14 01:47:01 UTC,4604,24.90,48.00,24.80,"49.20

"
2021-04-14 01:57:01 UTC,4605,24.90,48.00,24.80,"49.10

"
2021-04-14 02:07:01 UTC,4606,24.90,48.70,24.80,"50.00

"
2021-04-14 02:17:01 UTC,4607,24.90,48.30,24.80,"49.50

"
2021-04-14 02:27:01 UTC,4608,24.90,48.00,24.80,"49.00

"
2021-04-14 02:37:01 UTC,4609,24.90,47.60,24.70,"48.60

"
2021-04-14 02:47:01 UTC,4610,24.90,47.70,24.70,"48.70

"
2021-04-14 02:57:01 UTC,4611,24.80,47.10,24.70,"48.00

"
2021-04-14 03:07:01 UTC,4612,24.80,46.90,24.70,"47.80

"
2021-04-14 03:17:01 UTC,4613,24.80,46.80,24.70,"47.70

"
2021-04-14 03:27:04 UTC,4614,24.80,46.80,24.70,"47.70

"
2021-04-14 03:37:02 UTC,4615,24.90,46.50,24.90,"47.20

"
2021-04-14 03:47:02 UTC,4616,25.40,45.90,25.50,"46.20

"
2021-04-14 03:57:02 UTC,4617,25.60,45.50,25.70,"45.70

"
2021-04-14 04:07:02 UTC,4618,25.70,44.90,25.70,"45.10

"
2021-04-14 04:17:03 UTC,4619,25.60,44.60,25.70,"45.10

"
2021-04-14 04:27:02 UTC,4620,25.70,44.20,25.60,"44.60

"
2021-04-14 04:37:02 UTC,4621,25.60,43.70,25.60,"44.00

"
2021-04-14 04:47:02 UTC,4622,25.50,43.30,25.60,"43.70

"
2021-04-14 04:57:02 UTC,4623,25.50,43.40,25.40,"44.10

"
2021-04-14 05:07:02 UTC,4624,25.40,43.70,25.40,"44.40

"
2021-04-14 05:17:02 UTC,4625,25.30,44.30,25.30,"44.80

"
2021-04-14 05:27:02 UTC,4626,25.30,44.00,25.30,"44.70

"
2021-04-14 05:37:01 UTC,4627,25.20,44.40,25.30,"44.90

"
2021-04-14 05:47:02 UTC,4628,25.20,43.20,25.20,"43.60

"
2021-04-14 05:57:03 UTC,4629,25.30,42.50,25.30,"43.00

"
2021-04-14 06:07:03 UTC,4630,25.40,42.20,25.40,"42.60

"
2021-04-14 06:17:03 UTC,4631,25.40,42.30,25.50,"42.60

"
2021-04-14 06:27:03 UTC,4632,25.40,41.80,25.40,"41.90

"
2021-04-14 06:37:03 UTC,4633,25.40,42.40,25.50,"42.60

"
2021-04-14 06:47:03 UTC,4634,25.40,41.60,25.40,"41.70

"
2021-04-14 06:57:03 UTC,4635,25.40,41.70,25.40,"42.00

"
2021-04-14 07:07:02 UTC,4636,25.40,41.80,25.40,"42.10

"
2021-04-14 07:17:02 UTC,4637,25.40,41.80,25.50,"42.00

"
2021-04-14 07:27:03 UTC,4638,25.40,41.70,25.50,"41.80

"
2021-04-14 07:37:03 UTC,4639,25.40,41.20,25.50,"41.30

"
2021-04-14 07:47:02 UTC,4640,25.40,41.90,25.50,"42.20

"
2021-04-14 07:57:03 UTC,4641,25.40,42.40,25.40,"42.60

"
2021-04-14 08:07:03 UTC,4642,25.40,42.80,25.50,"43.10

"
2021-04-14 08:17:03 UTC,4643,25.40,42.80,25.60,"43.00

"
2021-04-14 08:27:03 UTC,4644,25.40,43.10,25.50,"43.40

"
2021-04-14 08:37:04 UTC,4645,25.40,43.60,25.50,"43.90

"
2021-04-14 08:47:04 UTC,4646,25.40,43.50,25.50,"43.70

"
2021-04-14 08:57:03 UTC,4647,25.30,40.10,25.30,"40.30

"
2021-04-14 09:07:04 UTC,4648,25.40,42.40,25.30,"42.60

"
2021-04-14 09:17:04 UTC,4649,25.30,42.90,25.40,"43.30

"
2021-04-14 09:27:04 UTC,4650,25.30,43.10,25.40,"43.40

"
2021-04-14 09:37:04 UTC,4651,25.20,42.10,25.30,"42.30

"
2021-04-14 09:47:04 UTC,4652,25.30,38.50,25.30,"38.30

"
2021-04-14 09:57:04 UTC,4653,25.10,38.50,25.10,"38.50

"
2021-04-14 10:07:04 UTC,4654,25.10,38.80,25.20,"38.80

"
2021-04-14 10:17:04 UTC,4655,25.20,41.20,25.20,"41.30

"
